0,0
1,Sci-Fi/Western
2,Superhero
3,Comedy/Musical/Romance
4,Action/Adventure/Sci-fi
5,Animation/Adventure/Family
6,Action/Family/Fantasy
7,Adventure/Comdey/Drama
8,Drama/History/War
9,Animation/Adventure/Comedy
10,Action/Adventrue/Comedy
11,Biography/Comedy/Crime
12,Adventure/Crime/Drama
13,Crime/Drama/Thriller
14,Drama/Thriller/War
15,Action/Comedy/Crime
16,Fantasy/Action
17,Action/Crime/Thriller
18,Comedy/Crime
19,Comedy/Sport
20,Fantansy/Adventure/Animation
21,Adventure/Comedy/Sci-fi
22,Fantasy/Adventure/Animation
23,Action/crime/drama
24,Action/Adventure/Comedy
25,Action
26,Adventure/Sci-fi/Thriller
27,Comedy/Drama/Romance
28,Sport/Comedy
29,Biography/Drama/History
30,Adventure/Fantasy
31,Sci-fi/Thriller
32,Adventure/Family/Fantasy
33,Crime/Thriller
34,Action/Spy/Thriller
35,Action/Thriller/Western
36,Comedy/War
37,Comedy/Crime/Sport
38,Action/Drama
39,Adventure/Comedy/Musical
40,Action/Sci-fi
41,Adventure/Comedy/Drama
42,Comedy/action/spoof
43,Action/Sci-fi/Animation
44,Action/Biography/Drama
45,Action/Crime/Comedy
46,Comedy/Drama/Fantasy
47,Comedy/Horror
48,Comedy/Satire
49,Adventure/Comedy/Mystery
50,Family/Comedy/Animation
51,Comedy/Family/Fantasy
52,Action/Adventure/Thriller
53,Adventure/Drama/Thriller
54,Actoion/Comedy
55,Action/Comedy/Sci-fi
57,Action/Mystery/Thriller
58,Animation
59,Adventure/Comedy
60,Action/Drama/War
61,Action/Adventure/Sce-fi
62,Adventure/Comedy/Animation
63,Action/Thriller/War
64,Action/Comedy
65,Comedy/Romance
66,Action/Adventure/Drama
67,Animation/Advemture/Comedy
68,Fantasy/Musical/Comedy
69,Drama/Romance
70,Action/Drama/Thriller
71,Drama
72,Crime/Drama
73,Action/Comedy/Romance
74,Action/Thriller
75,Comedy/Fantasy
76,Crime/Drama/Mystery
77,Action/Adventure/Crime
78,Comdey
79,Animation/Comedy/Musical
80,Comedy
81,Action/Crime/Drama
82,Superhero/Animation
83,Adventure/Drama/War
84,Thriller/Drama
85,Comedy/Sci-Fi
86,Drama/Muscial/Romance
87,Animation/Adventure/Drama
88,Thriller/Action
89,Action/Fantasy/War
90,Drama/Comedy
91,Drama/Action
92,Action/Drama/History
93,Action/Adventure/Mystery
94,Comedy/Music
95,Animation/Family/Fantasy
96,Documentary
97,Fantasy/Drama/Superhero
98,Drama/War
99,Animation/Adventure/family
100,Comedy/Family /Romance
101,Romance/comedy
102,Comedy/Animation
103,Drama/Fantasy
104,Action/Fantasy/Sci-fi
105,Comedy/Drama/Family
106,Animation/Comedy
107,Action/Crime/Sci-Fi
108,Adventure/Sci-fi/Animation
109,Fantasy/Drama
110,Action/Adventure
111,Action/Comedy/Sport
112,Fantasy/Thriller/Animation
113,Comedy/Family
114,Adventure/Sci-fi
115,Animation/short/comedy
116,Sport/Action/Comedy
117,Adventure/Comedy/Family
118,Animation/Action/Adventure
119,Action/Fantasy/Horror
120,Comedy/Horror/Romance
121,Comedy/Western
